RegionID_x,RegionName_x,monthly_price_slope,monthly_price_change_std,total_data_points,last_avg_price,sharpe_ratios,Region,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange,zillow_1yr_revenue_forecast,first_three_zip_digits,last_two_zip_digits_x,RegionID_y,RegionName_y,monthly_rent_approx,last_two_zip_digits_y,zip_abs_diff,approx_rental_yield
69424,27576,1214.0,1484.0,61,213828.0,0.8180592991913747,Zip,NC,Johnston County,Selma,2022-11-30,23.2,49608.096,275,76,69431,27587,1781.0,87,11,0.00832912434292983
72667,33540,1359.0,1544.0,61,235827.0,0.8801813471502591,Zip,FL,Pasco County,Zephyrhills,2022-11-30,23.1,54476.037000000004,335,40,72670,33543,2348.0,43,3,0.009956451127309427
72840,33825,1063.0,989.0,61,170368.0,1.0748230535894843,Zip,FL,Highlands County,Avon Park,2022-11-30,23.0,39184.64,338,25,72836,33813,1952.0,13,12,0.01145755071374906
72852,33841,1299.0,1345.0,61,193044.0,0.9657992565055762,Zip,FL,Polk County,Fort Meade,2022-11-30,22.9,44207.075999999994,338,41,72836,33813,1952.0,13,28,0.010111684382835
72668,33541,1522.0,2021.0,61,288383.0,0.7530925284512617,Zip,FL,Pasco County,Zephyrhills,2022-11-30,22.7,65462.941,335,41,72670,33543,2348.0,43,2,0.008141950114951297
70795,30008,1731.0,1899.0,61,294374.0,0.9115323854660348,Zip,GA,Cobb County,Marietta,2022-11-30,22.5,66234.15000000001,300,8,70796,30009,2516.0,9,1,0.008546950477963408
72876,33870,1050.0,939.0,61,170667.0,1.1182108626198084,Zip,FL,Highlands County,Sebring,2022-11-30,22.3,38058.741,338,70,72883,33880,1529.0,80,10,0.008958966877017818
69383,27524,1223.0,1429.0,61,228836.0,0.8558432470258922,Zip,NC,Johnston County,Four Oaks,2022-11-30,22.2,50801.592000000004,275,24,69385,27526,1900.0,26,2,0.008302889405513119
69662,28016,1400.0,1150.0,61,194270.0,1.2173913043478262,Zip,NC,Gaston County,Bessemer City,2022-11-30,22.1,42933.670000000006,280,16,69670,28025,1713.0,25,9,0.008817624954959592
72806,33765,1729.0,1896.0,61,323246.0,0.9119198312236287,Zip,FL,Pinellas County,Clearwater,2022-11-30,21.9,70790.874,337,65,72808,33767,3591.0,67,2,0.011109186192559227
69667,28021,1350.0,1265.0,61,208722.0,1.0671936758893281,Zip,NC,Gaston County,Cherryville,2022-11-30,21.7,45292.674,280,21,69670,28025,1713.0,25,4,0.008207088855032052
69399,27542,967.0,1522.0,61,202360.0,0.6353482260183968,Zip,NC,Johnston County,Kenly,2022-11-30,21.7,43912.12,275,42,69397,27540,1927.0,40,2,0.00952263293140937
98907,96771,1295.0,2516.0,61,307621.0,0.5147058823529411,Zip,HI,Hawaii County,Mountain View,2022-11-30,21.7,66753.757,967,71,98923,96789,2497.0,89,18,0.008117131145142887
72853,33843,1152.0,1120.0,61,171127.0,1.0285714285714285,Zip,FL,Polk County,Frostproof,2022-11-30,21.4,36621.178,338,43,72836,33813,1952.0,13,30,0.011406733011155457
70969,30224,1294.0,1449.0,61,213882.0,0.8930296756383713,Zip,GA,Spalding County,Griffin,2022-11-30,21.3,45556.866,302,24,70970,30228,1890.0,28,4,0.008836648245294135
90768,75216,1744.0,1414.0,61,178001.0,1.2333804809052333,Zip,TX,Dallas County,Dallas,2022-11-30,21.3,37914.213,752,16,90767,75215,2213.0,15,1,0.01243251442407627
70968,30223,1186.0,1267.0,61,170163.0,0.936069455406472,Zip,GA,Spalding County,Griffin,2022-11-30,21.3,36244.719000000005,302,23,70970,30228,1890.0,28,5,0.011106997408367271
72596,33430,1148.0,2244.0,61,209185.0,0.5115864527629234,Zip,FL,Palm Beach County,Belle Glade,2022-11-30,21.1,44138.035,334,30,72597,33431,2684.0,31,1,0.012830747902574276
90756,75203,1767.0,1568.0,61,201691.0,1.1269132653061225,Zip,TX,Dallas County,Dallas,2022-11-30,21.1,42556.80100000001,752,3,90757,75204,1927.0,4,1,0.009554219077698062
92333,78237,804.0,1058.0,61,139004.0,0.7599243856332704,Zip,TX,Bexar County,San Antonio,2022-11-30,21.0,29190.84,782,37,92334,78238,1128.0,38,1,0.008114874392103824
71793,32114,1145.0,1144.0,61,175418.0,1.0008741258741258,Zip,FL,Volusia County,Daytona Beach,2022-11-30,20.4,35785.272,321,14,71798,32119,1476.0,19,5,0.008414187825650732
69763,28174,1622.0,1901.0,61,264407.0,0.8532351394003156,Zip,NC,Union County,Wingate,2022-11-30,20.4,53939.028,281,74,69762,28173,2386.0,73,1,0.009023966839001992
69759,28168,1141.0,1444.0,61,223134.0,0.7901662049861495,Zip,NC,Lincoln County,Vale,2022-11-30,20.3,45296.202000000005,281,68,69762,28173,2386.0,73,5,0.010693126103596943
90769,75217,1450.0,1302.0,61,193338.0,1.1136712749615976,Zip,TX,Dallas County,Dallas,2022-11-30,20.2,39054.276,752,17,90770,75218,1959.0,18,1,0.010132514042764485
70880,30103,1236.0,1096.0,61,224287.0,1.1277372262773722,Zip,GA,Bartow County,Adairsville,2022-11-30,19.8,44408.826,301,3,70879,30102,1995.0,2,1,0.008894853468992853
92307,78211,834.0,957.0,61,137882.0,0.8714733542319749,Zip,TX,Bexar County,San Antonio,2022-11-30,19.7,27162.754,782,11,92306,78210,1292.0,10,1,0.009370331152724794
90705,75119,1280.0,1503.0,61,228922.0,0.8516300731869594,Zip,TX,Ellis County,Ennis,2022-11-30,19.6,44868.712,751,19,90701,75115,1983.0,15,4,0.008662339137348093
63939,15208,706.0,1256.0,61,134935.0,0.5621019108280255,Zip,PA,Allegheny County,Pittsburgh,2022-11-30,19.5,26312.325,152,8,63942,15211,1385.0,11,3,0.010264201282098788
91249,76104,1612.0,1139.0,61,179501.0,1.415276558384548,Zip,TX,Tarrant County,Fort Worth,2022-11-30,19.4,34823.193999999996,761,4,91252,76107,1576.0,7,3,0.008779895376627428
72450,33147,2268.0,1445.0,61,322408.0,1.5695501730103807,Zip,FL,Miami-Dade County,West Little River,2022-11-30,19.4,62547.151999999995,331,47,72449,33146,2781.0,46,1,0.00862571648346195
70290,29067,864.0,1162.0,61,141040.0,0.7435456110154905,Zip,SC,Lancaster County,Kershaw,2022-11-30,19.4,27361.76,290,67,70288,29063,1500.0,63,4,0.010635280771412365
